filename,tokens,mean_surprisal,median_surprisal,min_surprisal,max_surprisal,uid_variance,uid_pairwise,vocab_size,sentence_length
llama-2-7b-dailydialog_6.csv,56,4.171763915167373,3.3182575702667236,0.0004995240597054,13.599021911621094,9.111939739640276,21.97755125818811,47,11.75
llama-2-7b-dailydialog_60.csv,43,3.9995763690351662,3.4965059757232666,0.0019798462744802,10.01731014251709,8.276838360017853,17.727289276925926,37,19.5
llama-2-7b-dailydialog_61.csv,66,5.357323231119098,4.439781188964844,0.3483358919620514,13.955849647521973,14.5471042818286,31.281230862049142,53,11.2
llama-2-7b-dailydialog_62.csv,707,3.7963574122234642,3.327913522720337,2.3561815396533348e-05,18.28467559814453,9.203881190072577,17.865664710000104,280,13.25531914893617
llama-2-7b-dailydialog_63.csv,72,5.002223752025101,4.255711317062378,0.2776817977428436,19.58880043029785,13.505154568279472,27.372165716208144,62,16.75
llama-2-7b-dailydialog_64.csv,97,4.291981947460073,3.938828468322754,0.0007578685763292,16.464067459106445,10.979126106109824,24.6871136477079,77,13.833333333333334
llama-2-7b-dailydialog_65.csv,1023,3.8797464544161904,3.424912452697754,0.0008043290581554,16.169490814208984,8.770078862651241,18.68637843131802,284,19.305555555555557
llama-2-7b-dailydialog_66.csv,25,5.283030338287354,5.214846134185791,0.1567223966121673,11.788061141967772,11.296510109889102,21.789594840536548,23,7.0
llama-2-7b-dailydialog_67.csv,73,4.226902143407791,3.520892143249512,0.0003483929322101,18.90669250488281,15.619398222925566,17.643769023030547,56,11.8
llama-2-7b-dailydialog_68.csv,307,4.539886354442977,3.9846396446228023,0.0003516613796819,39.29801940917969,20.438912340405356,40.57288499552487,169,23.272727272727273
llama-2-7b-dailydialog_69.csv,52,4.812833908081162,3.561119318008423,0.0028447301592677,15.355449676513672,14.861338797236538,29.48728170457852,42,21.5
llama-2-7b-dailydialog_7.csv,99,4.265493281055688,4.129002571105957,0.0009468171629123,13.002960205078123,9.125763878012814,18.91218609553896,81,30.0
llama-2-7b-dailydialog_70.csv,92,4.212251901829048,3.4939684867858887,0.0164403561502695,16.446014404296875,15.875005439251595,26.1512001707391,56,21.0
llama-2-7b-dailydialog_71.csv,77,4.413358284168054,3.79287338256836,0.0012369133764877,17.694374084472656,14.675300909545808,27.252748865545737,62,14.25
llama-2-7b-dailydialog_72.csv,6,7.863410472869873,8.64151906967163,4.098919868469238,10.986974716186523,7.4429795180230185,24.93591990922196,6,5.0
llama-2-7b-dailydialog_73.csv,543,3.853241282841212,3.1174025535583496,0.0004209889448247,21.79561996459961,12.056828728424538,20.73096279735886,225,7.428571428571429
llama-2-7b-dailydialog_74.csv,70,5.3037231657354695,4.869898796081543,0.0026733658742159,19.018709182739254,14.716841011977454,24.695530016053873,60,14.75
llama-2-7b-dailydialog_75.csv,49,7.914010685640482,7.530733585357666,0.0123965600505471,23.982250213623047,24.214692341270105,59.37526763586512,36,16.5
llama-2-7b-dailydialog_76.csv,41,4.537986829516296,4.510722160339356,0.001072280225344,20.470653533935547,15.091225887592977,31.663526766786582,35,11.333333333333334
llama-2-7b-dailydialog_77.csv,115,4.314330523088574,3.814598321914673,0.0194264892488718,16.299257278442383,11.19369607642068,22.75620613075097,87,6.333333333333333
llama-2-7b-dailydialog_78.csv,265,4.427190715502914,3.847114562988281,6.931067036930472e-05,16.889406204223633,10.730803600829363,20.446173946922258,172,22.6
llama-2-7b-dailydialog_79.csv,96,4.3534168265092985,3.8353949785232544,0.0006417239783331,17.8280029296875,13.836434809591866,36.44087279182863,76,21.0
llama-2-7b-dailydialog_8.csv,1023,3.892372643461388,3.2445433139801025,0.0007068498525768,16.950044631958008,9.920975668141761,18.813867815189422,343,10.813333333333333
llama-2-7b-dailydialog_80.csv,258,4.009802722201552,3.319842576980591,0.0032445727847516,21.41517639160156,10.29121004013309,19.88839526968194,141,15.142857142857142
llama-2-7b-dailydialog_81.csv,72,4.506501857815844,4.284556150436401,0.000363703147741,14.289263725280762,9.339127621345066,16.59717715774607,58,10.0
llama-2-7b-dailydialog_82.csv,490,3.9129891486168478,3.1342278718948364,0.0003908835351467,18.43267822265625,10.287498765175005,18.71279681369302,218,19.85
llama-2-7b-dailydialog_83.csv,1023,3.948499579490472,3.399897575378418,0.0005581056466326,20.952098846435547,10.449759755861068,19.725993258569964,384,16.97872340425532
llama-2-7b-dailydialog_84.csv,786,3.8767877056453672,3.4510453939437866,0.0001439566549379,17.517436981201172,10.304369479611472,22.283875060383906,262,8.545454545454545
llama-2-7b-dailydialog_85.csv,94,5.041214528245891,4.484976053237915,0.0083692567422986,17.66445541381836,15.097283768468346,30.959984685390303,75,9.75
llama-2-7b-dailydialog_86.csv,51,5.830845817047007,4.769628524780273,0.3447810113430023,15.256428718566896,14.794437639169903,30.62536616074293,37,9.75
llama-2-7b-dailydialog_87.csv,9,5.406561149491204,5.985200881958008,1.8830727338790891,10.12249755859375,9.38043156464571,19.534716184494133,9,7.0
llama-2-7b-dailydialog_88.csv,96,3.8435534345262568,2.9356449842453003,0.0010011142585426,17.394874572753906,9.982289118366054,22.634784866957734,74,11.857142857142858
llama-2-7b-dailydialog_89.csv,61,4.974635292943872,4.272737503051758,0.0222748033702373,14.537223815917969,12.051816844182019,18.684270029548447,52,13.0
llama-2-7b-dailydialog_9.csv,48,4.249089951316516,3.8262432813644414,0.329020082950592,11.93444538116455,7.108337994365914,16.18146635004636,42,13.0
llama-2-7b-dailydialog_90.csv,77,6.3595332607835555,5.014074325561523,0.0017225743504241,31.037166595458984,26.75357338876036,56.456543803827515,60,11.0
llama-2-7b-dailydialog_91.csv,63,5.642237825548306,4.983669757843018,0.0022140829823911,13.782354354858398,14.959954885471484,35.639612503194904,55,18.666666666666668
llama-2-7b-dailydialog_92.csv,73,4.077701278375334,3.175478219985962,0.0072631072252988,15.998064994812012,11.306952408298736,21.17251343245849,55,16.0
llama-2-7b-dailydialog_93.csv,37,4.634624720560512,4.18183708190918,0.0009029334178194,19.213136672973636,14.506932660356432,31.469220503339912,32,16.0
llama-2-7b-dailydialog_94.csv,76,5.447408825906582,5.809775114059448,0.0067398967221379,20.707618713378903,18.0313295157437,38.88066320150089,58,16.5
llama-2-7b-dailydialog_95.csv,53,4.492781417971512,3.637378692626953,0.0493592098355293,17.077451705932617,13.28715486197903,25.76734881889047,45,11.75
