filename,tokens,mean_surprisal,median_surprisal,min_surprisal,max_surprisal,uid_variance,uid_pairwise,vocab_size,sentence_length
llama-7b-finetune-articlegen_207.csv,202,4.139903527189384,3.160677194595337,0.0002031258045462,31.59393882751465,16.43783694519633,31.87595414932759,138,28.166666666666668
llama-7b-finetune-articlegen_208.csv,1023,3.1576179461860665,2.2721848487854004,0.0001420646585756,18.56791877746582,11.11764209536743,18.002237759658023,283,17.979166666666668
llama-7b-finetune-articlegen_209.csv,1023,4.047603185950172,3.535458564758301,0.0004909220151603,20.5754508972168,10.59592165040375,20.889027341990783,355,20.595238095238095
llama-7b-finetune-articlegen_21.csv,36,5.327094917103143,5.881872177124023,0.0009037939016707,17.71430206298828,14.795152379793175,36.41149851328956,32,27.0
llama-7b-finetune-articlegen_210.csv,993,3.5693773380163365,2.972215414047241,8.031813194975257e-05,17.900667190551758,8.863091934746192,16.32441706986167,418,36.31818181818182
llama-7b-finetune-articlegen_211.csv,86,4.427195431140379,3.8262007236480717,0.0004080865473952,12.135926246643066,11.104493200370243,22.573508716450608,65,9.285714285714286
llama-7b-finetune-articlegen_212.csv,122,3.640375949030639,0.7100111544132233,0.0004001731285825,28.812185287475582,28.927603728163735,35.37520759999213,45,5.266666666666667
llama-7b-finetune-articlegen_213.csv,425,2.359134706482394,0.1270523816347122,3.577283496269956e-05,22.230323791503903,13.088625988103013,16.588373540710112,149,28.25
llama-7b-finetune-articlegen_214.csv,1023,3.1041125518193295,2.2454214096069336,6.552688137162477e-05,16.63858413696289,10.740649411853513,16.66026212564998,264,19.177777777777777
llama-7b-finetune-articlegen_215.csv,1023,2.6297614838151233,1.159225583076477,1.2554788554552944e-05,23.99267196655273,11.298756713257847,17.90985070478722,379,23.5
llama-7b-finetune-articlegen_216.csv,115,4.519385540274822,4.078651905059815,0.0010530040599405,15.248169898986816,12.527580523526742,25.610045716557117,97,28.0
llama-7b-finetune-articlegen_217.csv,1023,4.30275699862674,3.468522548675537,6.191388820298016e-06,20.89508628845215,13.72613206912294,26.747758284631338,429,16.755102040816325
llama-7b-finetune-articlegen_218.csv,232,3.3307904865823885,1.8092430233955383,2.1497991838259622e-05,19.878297805786133,16.12321510133499,18.544453472702255,106,29.333333333333332
llama-7b-finetune-articlegen_219.csv,28,4.975749185475122,4.763636350631714,0.0140889408066868,12.95301342010498,16.420869822420993,31.51818234704918,27,23.0
llama-7b-finetune-articlegen_22.csv,18,3.988480073891373,3.2863951921463013,0.0023061516694724,8.547533988952637,7.01055017206404,13.083170831790618,17,7.5
llama-7b-finetune-articlegen_221.csv,1023,3.2714922108482924,2.437728881835937,9.098168811760844e-05,20.499330520629883,11.764777933876289,18.526927404374934,305,20.761904761904763
llama-7b-finetune-articlegen_222.csv,150,4.5094781340577175,3.648794174194336,0.0002668557572178,27.177715301513672,16.36375152782444,31.99201005233646,104,17.714285714285715
llama-7b-finetune-articlegen_223.csv,1023,0.16353861368233963,0.0027027437463402,0.0023609308991581,17.86205291748047,1.275626258345633,0.6621666505422962,16,1.0109126984126984
llama-7b-finetune-articlegen_224.csv,34,6.725492963348241,5.434224367141724,0.0314604602754116,15.52867317199707,19.12121686388596,34.8546248756739,31,28.0
llama-7b-finetune-articlegen_225.csv,1023,1.9737377806430894,0.1234483942389488,0.0002327112888451,20.23636817932129,10.47188720831441,14.625944227434031,217,17.591836734693878
llama-7b-finetune-articlegen_226.csv,1023,3.2029221960172753,1.919854521751404,2.6141598937101666e-05,30.451032638549805,14.540478401084847,22.48759507213148,338,18.361702127659573
llama-7b-finetune-articlegen_227.csv,1023,3.092885720632667,2.135649919509888,6.724678678438067e-05,18.50376319885254,10.730201927700316,18.773506488326046,313,24.38235294117647
llama-7b-finetune-articlegen_228.csv,11,3.0549002241327385,3.370929956436157,0.0001787010405678,6.472140789031982,2.744290614701677,8.162301326178461,11,8.0
llama-7b-finetune-articlegen_229.csv,39,5.464648020738073,4.095365047454834,0.0001797330623958,17.438383102416992,23.211846226165367,32.607359244741716,36,31.0
