filename,tokens,mean_surprisal,median_surprisal,min_surprisal,max_surprisal,uid_variance,uid_pairwise,vocab_size,sentence_length,model,dataset,model_class
human_161.csv,106,5.614708490276551,4.901233911514282,0.002259298460558,21.19506454467773,19.503206961567415,36.78007888278748,,,human_texts,daily_dialog,human
human_33.csv,717,5.101457496969804,4.226576805114746,7.636231748620048e-05,18.587949752807617,16.14416889095664,32.964779767668816,,,human_texts,writingprompts,human
human_37.csv,55,5.225129584019834,4.114306926727295,0.2002527862787246,28.59215545654297,20.420217293227005,33.07491037650983,,,human_texts,daily_dialog,human
human_89.csv,992,4.374531184931051,3.2625008821487427,3.9556061892653815e-06,19.99862098693848,15.767585560340986,33.15833698960897,,,human_texts,cnn_dailymail,human
human_133.csv,54,4.747834706862233,3.21651029586792,0.0017967893509194,21.20494079589844,20.293039052778763,38.528129042571365,,,human_texts,daily_dialog,human
human_216.csv,1023,4.357636996064585,3.165088891983032,0.0002866375725716,20.21617126464844,16.27484033715428,32.83961716489961,,,human_texts,writingprompts,human
human_99.csv,168,4.90803819807202,3.728949189186096,0.0290950741618871,32.49541091918945,21.38736496825986,41.9117724143168,,,human_texts,daily_dialog,human
human_198.csv,60,6.628272707636158,5.347409009933472,0.1020126864314079,23.06252098083496,24.76369134969611,44.308647811522334,,,human_texts,daily_dialog,human
human_163.csv,26,6.978918194770813,5.682750940322876,0.782263994216919,16.17035675048828,21.4288528515161,24.011716091099434,,,human_texts,daily_dialog,human
human_176.csv,122,4.801286805878664,3.5828994512557983,0.000564815592952,22.69370460510254,18.37246054805225,28.240832025420072,,,human_texts,daily_dialog,human
human_223.csv,295,4.296598108060721,3.2780818939208984,0.0023319046013057,23.347373962402344,16.417970643959478,24.7919413134878,,,human_texts,daily_dialog,human
human_39.csv,519,3.789394346057744,2.702180862426758,0.0002780367503874,20.36274719238281,13.06505466091482,23.76801381071658,,,human_texts,cnn_dailymail,human
human_28.csv,815,4.9896656756937805,4.097143173217773,0.0022950412239879,23.568267822265625,16.66639128451308,34.92034470110839,,,human_texts,writingprompts,human
human_206.csv,99,5.553893576183291,4.1287126541137695,0.0035875434987246,25.95050048828125,22.9366065197146,41.11304669235065,,,human_texts,daily_dialog,human
human_199.csv,1023,4.832591480459883,3.856727600097656,0.0026366661768406,21.794862747192383,16.525784229165787,34.51967255297992,,,human_texts,writingprompts,human
human_90.csv,572,4.811040614011544,3.876202344894409,0.0004737179842777,26.185379028320312,17.486636188488305,35.21902020221327,,,human_texts,cnn_dailymail,human
human_25.csv,130,4.34120237912732,3.310169816017151,0.0015915450640022,25.935441970825195,19.814401040591303,36.470544078334555,,,human_texts,daily_dialog,human
human_208.csv,1023,4.737338322821155,3.657681465148926,6.604284862987697e-05,20.84116744995117,18.069284827544404,37.37252984285696,,,human_texts,cnn_dailymail,human
human_230.csv,549,3.707578405182044,2.2475149631500244,4.4715557123709004e-06,23.56218719482422,15.785102461774978,28.501085092425463,,,human_texts,cnn_dailymail,human
human_159.csv,43,5.526721074202553,3.750079393386841,0.0107756434008479,18.15652084350586,23.31239918911332,28.942741624900847,,,human_texts,daily_dialog,human
human_289.csv,87,5.532451040229236,3.9957451820373535,0.0520661585032939,29.73637962341309,24.537896337497983,47.78376637066335,,,human_texts,daily_dialog,human
human_225.csv,444,4.74998878786783,3.628812551498413,0.002516666194424,21.06536865234375,15.8735958985816,32.37006188926622,,,human_texts,writingprompts,human
human_178.csv,1023,4.309917421543202,3.429535388946533,0.0002437200018903,21.043222427368164,13.234680765224269,26.763527979652068,,,human_texts,writingprompts,human
human_128.csv,1023,4.383396462657544,3.321479797363281,5.589544525719248e-05,20.219133377075195,15.728108697150306,29.962086276001735,,,human_texts,cnn_dailymail,human
human_47.csv,367,4.768060338797502,3.633997440338135,3.405296592973173e-05,23.836240768432617,18.00574760783222,33.43088498850783,,,human_texts,cnn_dailymail,human
human_138.csv,366,4.90321065930324,4.030675888061523,8.599134844189393e-07,22.551990509033203,17.071307118135785,33.24724114543921,,,human_texts,cnn_dailymail,human
human_125.csv,27,6.274669448534648,5.652812004089356,0.339363694190979,23.154640197753903,22.657034062801912,37.5221695115174,,,human_texts,daily_dialog,human
human_42.csv,576,4.21423772404685,3.061037659645081,0.0061856992542743,25.07327651977539,14.249174371036414,25.55799659301286,,,human_texts,writingprompts,human
human_150.csv,812,5.04082418853445,3.976094365119934,3.577283496269956e-05,19.927234649658203,17.454347660634685,35.149712571186214,,,human_texts,writingprompts,human
human_299.csv,955,4.120405961493934,3.016321420669556,0.0001874732697615,25.783544540405277,15.69850784000527,28.64823608608297,,,human_texts,cnn_dailymail,human
human_63.csv,165,4.765521603918662,3.772334337234497,0.0019987905398011,34.87361145019531,20.4606036560787,38.215169367267194,,,human_texts,daily_dialog,human
human_239.csv,613,4.962895095761984,3.8384199142456055,0.0017646749038249,20.14980697631836,17.089639061493212,35.89775676444592,,,human_texts,writingprompts,human
human_98.csv,111,6.018553166893554,4.17699670791626,0.0228598527610301,26.85281181335449,30.391003047155426,64.4665441870331,,,human_texts,daily_dialog,human
human_37.csv,446,4.1944197369872045,3.521457076072693,7.722227746853605e-05,20.93793678283692,12.711113393817064,24.35296033963262,,,human_texts,cnn_dailymail,human
human_111.csv,873,4.795193531362309,3.825145959854126,0.0018654975574463,24.762157440185547,16.320981999910394,31.787153350704287,,,human_texts,writingprompts,human
human_166.csv,557,5.31969338415535,4.239481925964356,0.0111082773655653,20.05292510986328,16.515770257178946,37.40234535852018,,,human_texts,writingprompts,human
