filename,tokens,mean_surprisal,median_surprisal,min_surprisal,max_surprisal,uid_variance,uid_pairwise
llama-2-7b-32k-instruct_252.csv,13,5.195724409360152,4.146878242492676,0.902557909488678,13.910633087158203,16.547116189331977,30.63478016853682
llama-2-7b-32k-instruct_253.csv,1023,1.7456246363863093,0.1222095340490341,7.137456850614399e-05,19.308740615844727,9.363001077861519,12.752632240523997
llama-2-7b-32k-instruct_254.csv,67,5.9141549337933315,5.713840961456299,0.0661933869123458,17.342918395996094,17.702951641778284,35.21602111537617
llama-2-7b-32k-instruct_255.csv,73,4.471878989433793,3.530998945236206,0.0081046167761087,14.765851974487305,10.267841825191175,19.882254555162454
llama-2-7b-32k-instruct_256.csv,1023,1.0547906782560086,0.011306126601994,0.0001953855244209,31.30082321166992,9.0228316095505,11.545873012295965
llama-2-7b-32k-instruct_257.csv,1023,1.0243637416716496,0.0093574160709977,0.0002542987640481,27.236894607543945,7.7832801094839,8.882932876602142
llama-2-7b-32k-instruct_258.csv,57,4.425913718499942,3.823068380355835,0.0003477048303466,14.042993545532228,12.61465613208514,25.776730315772088
llama-2-7b-32k-instruct_259.csv,465,4.119191134618497,2.935525894165039,4.2308351112296805e-05,34.372779846191406,21.325655864062476,48.83821181107233
llama-2-7b-32k-instruct_26.csv,1023,2.4742776556535477,0.9191024899482728,2.4593728085164912e-05,31.1422176361084,14.675040993363316,24.75890249850833
llama-2-7b-32k-instruct_260.csv,56,6.60554515858582,4.921924114227295,0.0003762611013371,19.51597785949707,26.775963786985724,53.821081450594995
llama-2-7b-32k-instruct_261.csv,120,4.018937927936592,3.2219961881637573,0.0005017606308683,14.937262535095217,11.225175301457893,26.28156304878502
llama-2-7b-32k-instruct_262.csv,1023,2.621124081504446,1.6339901685714722,4.557612192002125e-05,23.29037857055664,9.158992624907945,15.718060233607085
llama-2-7b-32k-instruct_263.csv,27,5.897912677308476,3.811379194259644,0.0251964796334505,16.625572204589844,23.95057354207942,51.50917002770579
llama-2-7b-32k-instruct_264.csv,146,4.121127132803986,3.4230384826660156,0.0012271020095795,16.608732223510742,12.65118006861526,20.929742030226272
llama-2-7b-32k-instruct_265.csv,179,4.3243512797544,3.5394997596740723,0.0006705441628582,18.015775680541992,13.81439624868091,28.20236361116721
llama-2-7b-32k-instruct_266.csv,95,4.451634301949832,3.8144381046295166,0.0016143581597134,16.787736892700195,12.068351859743636,23.31337804476856
llama-2-7b-32k-instruct_267.csv,267,3.72919251869271,2.908899068832397,8.685385546414182e-05,17.67504119873047,10.894539917870851,23.45513229703855
llama-2-7b-32k-instruct_268.csv,105,4.395478143661395,1.601353645324707,3.284906051703729e-05,18.88095474243164,27.565020090534244,51.95616519381676
llama-2-7b-32k-instruct_269.csv,1023,1.0009795334903218,0.0048002735711634,0.0001453326549381,34.988311767578125,12.724238305656455,19.21117797638334
llama-2-7b-32k-instruct_27.csv,71,4.144586700808362,3.250701665878296,0.0045947744511067,16.032127380371094,9.846241460710528,23.349936820408583
llama-2-7b-32k-instruct_270.csv,102,4.295213113780882,4.137467622756958,0.0010827790247276,19.49007797241211,9.916329869458497,17.162037423429133
llama-2-7b-32k-instruct_271.csv,1023,2.7527624557501817,1.1393625736236572,4.9531852710060775e-05,27.77878189086914,14.180195656093009,23.726213431465215
